dbscan_cluster,interaction_frequency,session_duration,engagement_score,repetitive_behavior,utterance_length,kmeans_cluster,dbscan_cluster,anomaly_score,anomaly
0,0.24523764347304922,0.5244871083049223,0.9511477639840714,0.03404336394467096,0.48390184763798766,1.9921121822962313,0.0,0.11099677944573548,0.028045574057843997
1,0.0028636884306987406,0.09824540587040032,0.5,0.006386254464835571,0.0,3.0,1.0,0.026273360344430164,0.0
2,0.0034364261168384875,0.09716158901300356,0.4,0.0074571023093794354,0.0,3.0,2.0,0.07504538962117496,0.0
3,0.005154639175257732,0.09118838289044749,0.1,0.011164889253486465,0.0,1.0,3.0,0.45135971917539325,0.7113207547169811
4,0.004644252403627754,0.08945307092897332,0.20006572613493298,0.009588207451484212,0.0002555355803818429,1.0,4.0,0.28497248380655554,0.0
5,0.00572737686139748,0.08947331923303631,0.0,0.013043478260869566,0.0,1.0,5.0,0.6617285863966451,1.0
6,0.002290950744558992,0.10550026594551641,0.6,0.005193975839497632,0.0,3.0,6.0,0.004271897174706224,0.0
7,0.001145475372279496,0.10645724258289703,0.8,0.0024268930623445673,0.0,0.0,7.0,0.0006478131957868951,0.0
8,0.001718213058419244,0.1154656327751744,0.7,0.0038091012802636587,0.0,0.0,8.0,0.0016722956654253976,0.0
9,0.0040091638029782365,0.08719566274711757,0.3,0.008701591827037301,0.0,1.0,9.0,0.1613237288086799,0.0
10,0.000572737686139748,0.1053270674320318,0.9,0.0009690937663698273,0.0,0.0,10.0,0.0003867212782390823,0.0
11,0.0,0.0924956369982548,1.0,0.0,0.0,0.0,11.0,0.0004916820145855346,0.0
